Samples,InsertSize_mean,Insert_std,Mapped_rate,PCR_duplication,MEAN_COVERAGE,MEDIAN_COVERAGE,Coverage_at_least_1X,Coverage_at_least_5X,Coverage_at_least_10X,Coverage_at_least_20X,Coverage_at_least_30X
P002190812016,364.059053,90.252516,0.9995,0.186146,2.853355,3,0.900171,0.17914,0.003389,0.000308,0.000166
P002190812017,336.136609,83.329971,0.9996,0.184524,3.155617,3,0.910819,0.231848,0.006958,0.000402,0.000202
