Samples,GBR,FIN,CHS,PUR,CDX,CLM,IBS,PEL,PJL,KHV,ACB,GWD,ESN,BEB,MSL,STU,ITU,CEU,YRI,CHB,JPT,LWK,ASW,MXL,TSI,GIH
P002190812016,1.0045454545454545e-05,1e-05,0.4002877727272727,1e-05,0.05135422727272727,1.0090909090909092e-05,1.0181818181818182e-05,1.0136363636363636e-05,1e-05,1e-05,1e-05,1e-05,1.040909090909091e-05,1e-05,1.0181818181818182e-05,1e-05,1e-05,1e-05,1.031818181818182e-05,0.49556859090909083,0.05256795454545455,1e-05,1e-05,1e-05,1.0181818181818182e-05,1e-05
P002190812017,1e-05,1.0181818181818182e-05,0.2921585909090908,1.0045454545454545e-05,1.0045454545454545e-05,1e-05,1e-05,1.0272727272727272e-05,1e-05,0.39903849999999996,1.0363636363636364e-05,1.0181818181818182e-05,1e-05,1e-05,1e-05,1.0136363636363636e-05,1.0227272727272727e-05,1e-05,1e-05,0.27930949999999993,0.029271590909090896,1.0090909090909092e-05,1e-05,1.0181818181818182e-05,1e-05,1e-05
