Deletion,count
1,14074
2,2871
3,1296
4,1550
5,833
6,298
7,155
8,210
9,119
10,244
11,72
12,113
13,50
14,67
15,96
16,59
17,24
18,22
19,17
20,36
21,9
22,6
23,9
24,3
25,15
26,3
27,4
28,10
29,3
30,4
31,2
32,4
33,2
35,2
36,3
40,1
42,1
43,2
49,2
