Insertion,count
1,73235
2,39031
3,9608
4,5207
5,5677
6,1884
7,965
8,493
9,624
10,401
11,332
12,199
13,293
14,138
15,125
16,78
17,89
18,58
19,43
20,38
21,34
22,23
23,17
24,11
25,11
26,5
27,8
28,10
29,7
30,2
31,2
32,2
33,2
34,1
35,1
134,1
133,1
38,1
42,2
74,1
76,1
