Samples,Clean_total_reads,Clean_total_bases,Clean_q20_bases,Clean_q30_bases,Clean_q20_rate,Clean_q30_rate,Clean_read1_mean_length,Clean_read2_mean_length,Clean_gc_content
P002190812016,80742864,12033832332,11697606681,11105021474,0.97206,0.922817,149,149,0.410887
P002190812017,91790332,13673058872,13316889544,12679737397,0.973951,0.927352,148,148,0.413787
