Samples,Raw_total_reads,Raw_total_bases,Raw_q20_bases,Raw_q30_bases,Raw_q20_rate,Raw_q30_rate,Raw_read1_mean_length,Raw_read2_mean_length,Raw_gc_content
P002190812016,81922384,12288357600,11892017331,11271680417,0.967747,0.917265,150,150,0.41209
P002190812017,92927004,13939050600,13522376880,12856741247,0.970107,0.922354,150,150,0.41485
