Samples,synonymous,nonsynonymous,stopgain,stoploss,frameshift_insertion,frameshift_deletion,frameshift_block_substitution,nonframeshift_insertion,nonframeshift_deletion,nonframeshift_block_substitution,ExonicFunc_Unknown
P002190812016,0,0,1,0,7,20,0,23,37,0,160864
P002190812017,0,0,2,0,11,20,0,22,38,0,165448
