Samples,Total_INDELs,Missing_genotype,TotalInsertion,TotalDeletion,Homozygous,Heterozygous,Intergenic,Intronic,Exonic,Splicing,ncRNA,Downstream,Upstream,UTR3,UTR5,Unknown
P002190812016,160952,3329,138661,22291,120762,40190,86599,60071,87,8,10016,1336,1126,1452,205,52
P002190812017,165541,1902,141514,24027,122451,43090,89028,61759,91,9,10366,1343,1161,1509,218,57
