count,insert_size
8.890017822007104e-06,2
9.650130869985407e-06,3
1.0939018212209484e-05,4
1.0178905164231181e-05,5
1.0311098737792626e-05,6
1.1335598932893816e-05,7
1.0245001951011904e-05,8
1.113730857255165e-05,9
9.716227656766128e-06,10
1.0542437491525153e-05,11
1.1732179653578147e-05,12
1.1236453752722733e-05,13
1.2062663587481758e-05,14
1.2525341094946812e-05,15
1.2260953947823923e-05,16
1.351679289665764e-05,17
1.4144712371074499e-05,18
7.022783595451708e-05,19
6.044551151097023e-05,20
3.367631286477784e-05,21
2.4753246649380375e-05,22
2.495153700972254e-05,23
2.260510107900691e-05,24
2.5182875763455065e-05,25
2.3365214126985214e-05,26
2.6075182384994813e-05,27
2.928087654385983e-05,28
2.6537859892459866e-05,29
2.7463214907389974e-05,30
2.69344406131442e-05,31
2.6769198646192395e-05,32
2.700053739992492e-05,33
3.0140134772009212e-05,34
2.8190279561977916e-05,35
2.838856992232008e-05,36
2.6835295432973115e-05,37
2.7430166513999614e-05,38
2.9479166904201994e-05,39
2.9446118510811633e-05,40
2.8223327955368277e-05,41
2.8025037595026112e-05,42
2.967745726454416e-05,43
3.0140134772009212e-05,44
3.205694158865015e-05,45
3.103244139354896e-05,46
2.9512215297592354e-05,47
3.308144178375134e-05,48
3.559311968141878e-05,49
3.390765161851036e-05,50
3.6254087549225996e-05,51
3.43042323391947e-05,52
3.7047248990594655e-05,53
3.71794425641561e-05,54
4.088086262387653e-05,55
3.876576544689343e-05,56
4.127744334456086e-05,57
4.273157265373675e-05,58
4.544154091174635e-05,59
4.4780573043939125e-05,60
4.517715376462346e-05,61
4.59042184192114e-05,62
4.5044960191062014e-05,63
4.679652504075115e-05,64
4.755663808872945e-05,65
4.712700897465476e-05,66
4.51441053712331e-05,67
4.8812477037563164e-05,68
4.904381579129569e-05,69
4.927515454502822e-05,70
5.2084267983208905e-05,71
5.1654638869134214e-05,72
5.370363925933659e-05,73
5.5917881616490776e-05,74
5.320791335848118e-05,75
5.373668765272695e-05,76
5.38688812262884e-05,77
6.034636633079915e-05,78
5.5422155715635365e-05,79
5.9189672562136516e-05,80
5.9883688823334095e-05,81
