depth,acumulative
1,0.09594082212737846
2,0.29718453100145165
3,0.5217256156393696
4,0.7057531531688152
5,0.8288420851333849
6,0.8992943508079587
7,0.9357781003624731
8,0.9538895891101589
9,0.9633354484844797
10,0.9687570734421043
11,0.9724207470250255
12,0.9752148327147241
13,0.9774254843840998
14,0.9792338516902376
15,0.980796397868623
16,0.9821718835565831
17,0.9833926444894517
18,0.984443382039759
19,0.9853380040506593
20,0.9861304034143755
21,0.9868042384152013
22,0.9874186173865425
23,0.9879492016028789
24,0.9884151143485479
25,0.9888462574863311
26,0.9892036890553967
27,0.9895374772910999
28,0.9898646593013047
29,0.9901744565075667
30,0.9904387055274985
31,0.9907106038611649
32,0.9909331293516337
33,0.9911622610676009
34,0.9913833957737541
35,0.9916003581269612
36,0.9917752492546266
37,0.9919543127352382
38,0.9921222499413263
39,0.9922797562650487
40,0.9924438688142695
41,0.9925878149909164
42,0.9927199395008823
43,0.992859713324583
44,0.9929980963639683
45,0.9931208330798049
46,0.9932428744034839
47,0.993354832540876
48,0.9934727015116087
49,0.9935839642568431
50,0.9936872299922638
51,0.9937898003355267
52,0.9938864598454491
53,0.9939848578357657
54,0.9940703910711647
55,0.9941611397477464
56,0.9942560607772746
57,0.994335683179333
58,0.994423302591205
59,0.9945032726893422
60,0.9945808089149275
61,0.994667385238563
62,0.994742835287675
63,0.99482350077797
64,0.9949031231800284
65,0.9949754439644307
66,0.9950411585233347
67,0.995108959258712
68,0.9951680675921177
69,0.9952205697000253
70,0.9952817642099041
71,0.9953415679354676
72,0.9953996331806368
73,0.9954556122493329
74,0.9955053327886095
75,0.9955613118573056
76,0.995618681710317
77,0.9956680545535148
78,0.995716036612397
79,0.9957605417104909
80,0.9958064375929
81,0.9958596350929653
82,0.9958989247498762
83,0.9959416913675756
84,0.9959823718088019
85,0.9960227045539494
86,0.9960633849951758
87,0.9960998930834557
88,0.9961367488678147
89,0.9961718661717792
90,0.9962121989169267
91,0.9962490547012856
92,0.996284519701329
93,0.9963217231817668
94,0.9963544066131794
95,0.9963943916622481
96,0.9964249889171874
97,0.9964576723486
98,0.9964910511721704
99,0.9965219961231887
100,0.9965550272506801
101,0.996580061368358
102,0.9966165694566379
103,0.9966499482802083
104,0.9966795024469112
105,0.9967069704371408
106,0.9967372199960015
107,0.996762949505837
108,0.9967862451431204
109,0.9968105838686404
110,0.996835965682397
111,0.996862738280469
112,0.996889510878541
113,0.9969155880844554
114,0.9969399268099755
115,0.9969618316629434
116,0.9969865180845423
117,0.9970084229375104
118,0.9970292847022417
119,0.9970550142120772
120,0.9970765713689664
121,0.9971029962709596
122,0.9971269873004007
123,0.9971478490651322
124,0.9971714923984945
125,0.9971923541632259
126,0.9972121728397207
127,0.9972351207809254
128,0.997260502594682
129,0.9972803212711768
130,0.9973022261241449
131,0.9973234355849552
132,0.997340820388898
133,0.9973592482810775
134,0.9973773284771781
135,0.997397147153673
136,0.9974152273497736
137,0.9974343506341107
138,0.997450692349817
139,0.9974701633302331
140,0.9974889389184913
141,0.9975045852420399
142,0.9975205792616674
143,0.9975334440165851
144,0.9975487426440548
145,0.9975636935754457
146,0.9975859461244926
147,0.9976015924480411
148,0.9976224542127726
149,0.9976360143598481
150,0.9976495745069235
151,0.9976662639187086
152,0.9976815625461783
153,0.9976961657814905
154,0.9977104213207235
155,0.9977274584285876
156,0.9977455386246882
157,0.9977611849482367
158,0.9977737020070756
159,0.9977900437227819
160,0.9978036038698573
161,0.9978154255365385
162,0.9978342011247968
163,0.9978439366150048
164,0.9978574967620802
165,0.9978707092130769
166,0.9978839216640735
167,0.99789713411507
168,0.99790930347783
169,0.9979225159288266
170,0.9979357283798233
171,0.9979482454386621
172,0.9979649348504472
173,0.997980233477917
174,0.9979927505367558
175,0.9980049198995158
176,0.998019175438749
177,0.9980334309779821
178,0.9980452526446633
179,0.9980563789191867
180,0.9980657667133159
181,0.9980782837721548
182,0.9980894100466782
183,0.9980994932329651
184,0.9981109672035674
185,0.9981241796545639
186,0.9981346105369296
187,0.9981471275957685
188,0.9981572107820554
189,0.9981676416644212
190,0.9981846787722851
191,0.9981989343115183
192,0.9982152760272246
193,0.9982284884782212
194,0.9982430917135332
195,0.9982549133802143
196,0.9982632580861069
197,0.9982768182331824
198,0.9982903783802578
199,0.9983025477430179
200,0.9983171509783298
201,0.9983282772528533
202,0.998343575880323
203,0.9983560929391618
204,0.9983706961744739
205,0.9983825178411551
206,0.9983981641647036
207,0.9984099858313847
208,0.9984204167137505
209,0.9984322383804317
210,0.9984464939196648
211,0.9984604017628191
212,0.9984743096059734
213,0.9984871743608912
214,0.9985042114687551
215,0.9985174239197517
216,0.9985306363707483
217,0.9985428057335083
218,0.9985598428413723
219,0.9985734029884478
220,0.9985893970080753
221,0.9986050433316238
222,0.9986196465669358
223,0.998629034361065
224,0.9986439852924559
225,0.9986613700963988
226,0.9986797979885782
227,0.9986937058317324
228,0.9987048321062559
229,0.9987229123023565
230,0.998740992498457
231,0.9987639404396617
232,0.9987809775475257
233,0.998802187008336
234,0.9988251349495406
235,0.9988477351946663
236,0.9988699877437133
237,0.998892587988839
238,0.9989134497535704
239,0.998938831567327
240,0.9989697765183453
241,0.9990031553419156
242,0.9990372295576436
243,0.9990841685282894
244,0.9991272828420678
245,0.9991787418617386
246,0.9992423702441696
247,0.9993080848030736
248,0.9994311692149892
249,0.9996258790191493
250,1.0
